house_index,bedrooms,property_type,property_subtype,locality,postal_code,street,number,box,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale,energy_certificate
15581,3.0,APARTMENT,APARTMENT,Antwerpen,2000,Kattendijkdok-Westkaai,61,,1.0,2.0,1150000.0,0.0,1.0,70.0,0.0,0.0,AS_NEW,0.0,0.0,0.0,,175.0,,,A
15582,2.0,APARTMENT,APARTMENT,Roeselare,8800,Botermarkt,26,A3,0.0,,170000.0,0.0,1.0,,0.0,0.0,TO_BE_DONE_UP,0.0,0.0,0.0,,92.0,,,B
15583,1.0,APARTMENT,DUPLEX,Stabroek,2940,Dorpsstraat,160,3,1.0,2.0,249000.0,0.0,1.0,30.0,0.0,0.0,GOOD,0.0,0.0,0.0,,70.0,,,B
15584,3.0,APARTMENT,APARTMENT,Zelzate,9060,Grote Markt,72,0502,1.0,2.0,275000.0,0.0,0.0,0.0,1.0,1.0,TO_BE_DONE_UP,0.0,0.0,0.0,,178.0,,,C
15585,3.0,HOUSE,HOUSE,Sint-Denijs-Westrem,9051,Jean-Baptiste de Ghellincklaan,-,,1.0,,579945.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,685.0,,685.0,,
15586,2.0,HOUSE,HOUSE,Eernegem,8480,Stationsstraat,122,,0.0,2.0,219000.0,0.0,0.0,0.0,0.0,0.0,AS_NEW,0.0,0.0,0.0,439.0,,439.0,,B
15587,4.0,HOUSE,VILLA,Lint,2547,Groenstraat,50,,0.0,4.0,1275000.0,0.0,0.0,0.0,1.0,1.0,GOOD,0.0,0.0,1.0,1611.0,323.0,1611.0,,B
15589,1.0,HOUSE,HOUSE,Oostduinkerke,8670,A. Boudrystraat,10,216,0.0,,225000.0,0.0,1.0,,0.0,0.0,GOOD,0.0,0.0,0.0,0.0,59.0,0.0,,A
15590,3.0,HOUSE,HOUSE,Dinant,5500,Rue de Sologne,33,,1.0,4.0,239000.0,0.0,0.0,0.0,0.0,0.0,TO_BE_DONE_UP,1.0,500.0,0.0,1027.0,138.0,1027.0,UnderOption,G
15591,3.0,HOUSE,HOUSE,Peer,3990,Kiezel Kleine Brogel,15A,,0.0,2.0,274000.0,0.0,1.0,25.0,0.0,0.0,,0.0,0.0,0.0,239.0,225.0,239.0,,
15592,3.0,HOUSE,BUNGALOW,Blégny,4670,Rue Cahorday,8,,1.0,3.0,275000.0,0.0,1.0,75.0,0.0,0.0,GOOD,1.0,522.0,0.0,1014.0,162.0,1014.0,UnderOption,
15593,3.0,HOUSE,MIXED_USE_BUILDING,Vielsalm,6690,Rue du Vieux Marché,23,,1.0,3.0,275000.0,0.0,1.0,30.0,0.0,0.0,GOOD,1.0,75.0,0.0,260.0,345.0,260.0,,C
15594,3.0,HOUSE,HOUSE,Peer,3990,Kiezel Kleine Brogel,15B,,0.0,2.0,279000.0,0.0,1.0,25.0,0.0,0.0,,0.0,0.0,0.0,276.0,226.0,276.0,,
15595,2.0,HOUSE,HOUSE,WANZE,4520,Rue du Cerisier,1,,1.0,3.0,289000.0,0.0,1.0,15.0,0.0,0.0,,1.0,300.0,0.0,577.0,136.0,577.0,UnderOption,A+
15596,3.0,HOUSE,HOUSE,Peer,3990,Kiezel Kleine Brogel,15,,0.0,3.0,292000.0,0.0,1.0,25.0,0.0,0.0,,0.0,0.0,0.0,337.0,201.0,337.0,,
15597,3.0,HOUSE,HOUSE,Marke,8510,Goudsmedenstraat,A002,,0.0,,297793.0,0.0,1.0,,0.0,0.0,GOOD,0.0,0.0,0.0,123.0,146.0,123.0,,
15598,3.0,HOUSE,HOUSE,Walcourt,5650,Domaine De Pumont,114,,1.0,4.0,299000.0,0.0,1.0,12.0,0.0,0.0,GOOD,1.0,1252.0,0.0,1437.0,175.0,1437.0,,B
15599,3.0,HOUSE,HOUSE,Brakel,9660,Watermolenstraat,27a,,1.0,3.0,312000.0,0.0,0.0,0.0,0.0,0.0,GOOD,1.0,250.0,0.0,491.0,153.0,491.0,UnderOption,B
15600,2.0,HOUSE,HOUSE,Hamme,9220,Bookmolenstraat,3,,0.0,4.0,319000.0,0.0,1.0,,0.0,0.0,GOOD,1.0,120.0,0.0,452.0,228.0,452.0,UnderOption,C
15601,3.0,HOUSE,HOUSE,Dilbeek,1703,Zaaistraat,25,,1.0,2.0,320000.0,0.0,1.0,30.0,0.0,0.0,GOOD,1.0,75.0,0.0,213.0,135.0,213.0,UnderOption,D
15602,2.0,HOUSE,HOUSE,Kaprijke,9971,Koer,10,,1.0,3.0,339000.0,0.0,1.0,156.0,0.0,0.0,AS_NEW,1.0,100.0,0.0,201.0,156.0,201.0,UnderOption,A
15603,3.0,HOUSE,HOUSE,LEUPEGEM,9700,Tonkinstraat,28,,1.0,2.0,342000.0,0.0,1.0,,0.0,0.0,GOOD,0.0,0.0,0.0,265.0,133.0,265.0,,
15604,3.0,HOUSE,HOUSE,Izegem,8870,Maria van Bourgondiëstraat,LOT 3,,1.0,,342500.0,0.0,1.0,,0.0,0.0,GOOD,0.0,0.0,0.0,230.0,136.0,230.0,,
15605,3.0,HOUSE,HOUSE,Antwerpen,2020,Cyriel Buyssestraat,76,,0.0,2.0,347000.0,1.0,1.0,24.0,1.0,1.0,GOOD,1.0,60.0,0.0,178.0,178.0,178.0,,C
15606,0.0,HOUSE,MIXED_USE_BUILDING,Bastogne,6600,Route de Marche,78,,0.0,3.0,350000.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,1380.0,400.0,1380.0,UnderOption,D
15607,3.0,HOUSE,HOUSE,Houmont,6680,Rue de l'Arc en Ciel,15,,0.0,3.0,350000.0,0.0,1.0,,0.0,0.0,GOOD,1.0,539.0,0.0,863.0,215.0,863.0,,A
15608,4.0,HOUSE,HOUSE,MESSANCY,6780,Rue d'Athus,6,B,0.0,2.0,365000.0,0.0,1.0,45.0,0.0,0.0,,0.0,0.0,0.0,172.0,145.0,172.0,,C
15609,3.0,HOUSE,HOUSE,Lummen,3560,Pastorijstraat,41,,0.0,,365716.0,0.0,0.0,0.0,0.0,0.0,GOOD,0.0,0.0,0.0,540.0,161.0,540.0,,A
15610,2.0,HOUSE,HOUSE,Ciplet,4260,Rue des demoiselles,7,,1.0,4.0,375000.0,0.0,1.0,20.0,0.0,0.0,AS_NEW,1.0,516.0,0.0,661.0,108.0,661.0,UnderOption,A
15611,3.0,HOUSE,HOUSE,MESSANCY,6780,Rue des Peupliers,13,,0.0,4.0,375000.0,0.0,1.0,16.0,0.0,0.0,,0.0,0.0,0.0,734.0,82.0,734.0,,D
15612,3.0,HOUSE,TOWN_HOUSE,Stabroek,2940,Grimaldilaan,156,,1.0,2.0,379000.0,0.0,1.0,20.0,0.0,0.0,AS_NEW,1.0,120.0,0.0,210.0,160.0,210.0,UnderOption,A
15613,3.0,HOUSE,HOUSE,GRÂCE-HOLLOGNE,4460,Rue Diérain Patar,53,,1.0,4.0,385000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,858.0,206.0,858.0,,E
15614,3.0,HOUSE,HOUSE,Oudenburg,8460,Bredeweghe,6,,1.0,4.0,399000.0,0.0,1.0,15.0,1.0,1.0,AS_NEW,1.0,370.0,0.0,518.0,149.0,518.0,UnderOption,B
15615,3.0,HOUSE,HOUSE,Pelt,3900,Wortelveldstraat,12,,1.0,3.0,415000.0,0.0,1.0,16.0,0.0,0.0,AS_NEW,1.0,258.0,0.0,258.0,154.0,258.0,,A
15616,4.0,HOUSE,HOUSE,Maldegem,9991,De Geuzen,22,,1.0,2.0,415000.0,0.0,1.0,20.0,0.0,0.0,AS_NEW,1.0,40.0,0.0,172.0,160.0,172.0,,A
15617,3.0,HOUSE,HOUSE,Affligem,1790,De Mattein,71,,1.0,3.0,419000.0,0.0,1.0,20.0,0.0,0.0,AS_NEW,1.0,440.0,0.0,636.0,160.0,636.0,UnderOption,C
15618,5.0,HOUSE,HOUSE,SINT-ELOOIS-VIJVE,8793,Koekoekstraat,19,,1.0,3.0,420000.0,0.0,1.0,,0.0,0.0,GOOD,0.0,0.0,0.0,247.0,430.0,247.0,,C
15620,4.0,HOUSE,VILLA,Oreye,4360,Grand'Route,17,,1.0,4.0,435000.0,0.0,1.0,47.0,0.0,0.0,GOOD,1.0,750.0,0.0,1303.0,175.0,1303.0,UnderOption,B
15621,4.0,HOUSE,HOUSE,Stoumont Chevron,4987,Rue Neufmoulin,39,,1.0,4.0,439000.0,0.0,1.0,55.0,0.0,0.0,GOOD,1.0,350.0,0.0,910.0,300.0,910.0,,C
15622,2.0,HOUSE,VILLA,Koolskamp,8851,Lichterveldsestraat,126,,0.0,,445000.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,1579.0,207.0,1579.0,,F
15623,3.0,HOUSE,HOUSE,DOHAN,6836,Route du Sati,9,,1.0,4.0,450000.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,1299.0,202.0,1299.0,,D
15624,3.0,HOUSE,HOUSE,EMBLEM,2520,Oostmalsesteenweg,54,,1.0,3.0,459000.0,0.0,1.0,15.0,0.0,0.0,,1.0,334.0,0.0,502.0,178.0,502.0,,
15625,2.0,HOUSE,HOUSE,Liedekerke,1770,Boerenkrijglaan,39,,1.0,4.0,475000.0,0.0,1.0,24.0,0.0,0.0,GOOD,1.0,410.0,0.0,580.0,163.0,580.0,UnderOption,C
15626,3.0,HOUSE,HOUSE,Wuustwezel,2990,De Vennekens,72,,0.0,4.0,475000.0,0.0,0.0,0.0,0.0,0.0,AS_NEW,0.0,0.0,0.0,511.0,213.0,511.0,,C
15627,4.0,HOUSE,HOUSE,Brugge,8000,Peterseliestraat,52,4,1.0,,485000.0,0.0,0.0,0.0,0.0,0.0,GOOD,0.0,0.0,0.0,106.0,154.0,106.0,,
15628,3.0,HOUSE,HOUSE,Zulte,9870,Sparrenstraat,2,,1.0,,486708.0,0.0,0.0,0.0,0.0,0.0,GOOD,0.0,0.0,0.0,475.0,195.0,475.0,,
15629,3.0,HOUSE,HOUSE,Gerpinnes,6280,Rue des Saules,36,,1.0,4.0,495000.0,0.0,1.0,40.0,0.0,0.0,GOOD,1.0,591.0,0.0,741.0,170.0,741.0,UnderOption,B
15630,5.0,HOUSE,HOUSE,Hoogstraten,2320,Leemputten,20,,1.0,4.0,1550000.0,0.0,1.0,,0.0,0.0,AS_NEW,1.0,3228.0,0.0,3228.0,512.0,3228.0,,B
15632,6.0,HOUSE,HOUSE,Knokke-Heist,8300,Westkapellestraat,399,,1.0,4.0,4385000.0,1.0,1.0,,0.0,0.0,AS_NEW,1.0,11405.0,1.0,11405.0,657.0,11405.0,,B
15634,6.0,HOUSE,VILLA,Knokke-Heist,8300,Berkenlaan,10 B,,1.0,3.0,6500000.0,0.0,1.0,,0.0,0.0,AS_NEW,1.0,890.0,0.0,890.0,368.0,890.0,,C
15637,2.0,APARTMENT,APARTMENT,Bredene,8450,Groenendijkstraat,12,0101,1.0,2.0,394800.0,0.0,1.0,14.0,0.0,0.0,AS_NEW,0.0,0.0,0.0,,82.0,,,A
15638,2.0,APARTMENT,APARTMENT,Koksijde,8670,Charleroistraat,8,00.01,1.0,2.0,315000.0,1.0,0.0,0.0,0.0,0.0,JUST_RENOVATED,0.0,0.0,0.0,,88.0,,,E
15640,2.0,HOUSE,HOUSE,Malle,2390,Hallebaan,193,,0.0,4.0,599000.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,2900.0,250.0,2900.0,,D
15642,4.0,HOUSE,HOUSE,Scherpenheuvel-Zichem,3270,Hoensberg,42,,0.0,4.0,895000.0,0.0,1.0,,0.0,0.0,AS_NEW,0.0,0.0,1.0,3967.0,250.0,3967.0,,B
15643,4.0,HOUSE,HOUSE,Harelbeke,8531,Rijksweg,7,,1.0,2.0,319000.0,0.0,1.0,,0.0,0.0,AS_NEW,0.0,0.0,0.0,166.0,163.0,166.0,,B
15644,2.0,APARTMENT,APARTMENT,Zonhoven,3520,Donkweg,52,5,0.0,4.0,169000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,79.0,,,
15645,2.0,APARTMENT,DUPLEX,Zelzate,9060,Koningin Astridlaan,25,0102,0.0,2.0,179000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,85.0,,,B
15646,2.0,APARTMENT,APARTMENT,Genk,3600,Nieuwe Kuilenweg,16,0.1,0.0,3.0,299000.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,,104.0,,,B
15648,4.0,HOUSE,HOUSE,Wellen,3830,Notelarestraat,44A,,1.0,,399000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,733.0,245.0,733.0,,C
15649,4.0,HOUSE,VILLA,Nazareth,9810,Hanestraat,2,A,0.0,4.0,584000.0,0.0,1.0,35.0,1.0,1.0,AS_NEW,1.0,656.0,0.0,847.0,200.0,847.0,,B
15650,1.0,APARTMENT,APARTMENT,Neder-Over-Heembeek,1120,Rue de Heembeek,250,,1.0,2.0,175000.0,0.0,1.0,2.0,0.0,0.0,TO_RENOVATE,0.0,0.0,0.0,,55.0,,,E
15652,2.0,APARTMENT,APARTMENT,LIBRAMONT-CHEVIGNY,6800,,,,1.0,3.0,185000.0,0.0,0.0,0.0,0.0,0.0,GOOD,0.0,0.0,0.0,,80.0,,,B
15653,2.0,APARTMENT,APARTMENT,Sint-Jans-Molenbeek,1080,Louis Mettewielaan,58,38,1.0,3.0,245000.0,0.0,1.0,6.0,0.0,0.0,GOOD,0.0,0.0,0.0,,86.0,,,F
15655,2.0,APARTMENT,APARTMENT,Londerzeel,1840,Meerstraat,39,3,1.0,2.0,315000.0,0.0,1.0,,0.0,0.0,AS_NEW,0.0,0.0,0.0,,118.0,,UnderOption,B
15656,2.0,APARTMENT,APARTMENT,Temse,9140,Lepelstraat,111,,1.0,,395000.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,,90.0,,,
15657,3.0,HOUSE,HOUSE,Buggenhout,9255,Monnikenveld,19,,1.0,3.0,388000.0,0.0,1.0,,0.0,0.0,AS_NEW,0.0,0.0,0.0,369.0,147.0,369.0,UnderOption,B
15658,3.0,HOUSE,HOUSE,Evergem,9940,Buntstraat,23,,1.0,,449000.0,0.0,0.0,0.0,0.0,0.0,GOOD,0.0,0.0,1.0,519.0,165.0,519.0,,B
15659,3.0,HOUSE,HOUSE,Ichtegem,8480,Santmolenstraat,11,,0.0,2.0,375000.0,0.0,1.0,,0.0,0.0,AS_NEW,0.0,0.0,0.0,206.0,142.0,206.0,,A
15660,5.0,HOUSE,HOUSE,Messancy Hondelange,6780,Rue des Rochers,95,,1.0,4.0,495000.0,0.0,1.0,60.0,0.0,0.0,GOOD,1.0,800.0,0.0,1238.0,180.0,1238.0,,D
15661,4.0,HOUSE,CHALET,Érezée,6997,Rue Du 150e Anniversaire,10A,,0.0,4.0,495000.0,0.0,1.0,24.0,0.0,0.0,AS_NEW,1.0,1320.0,0.0,1400.0,162.0,1400.0,,B
15662,3.0,HOUSE,HOUSE,Lievegem,9920,Jasmijnstraat,39,B,1.0,3.0,519000.0,0.0,1.0,30.0,0.0,0.0,AS_NEW,1.0,212.0,0.0,284.0,144.0,284.0,UnderOption,A
15663,4.0,HOUSE,HOUSE,Merelbeke,9820,Hundelgemsesteenweg,1060,,0.0,3.0,520000.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,449.0,166.0,449.0,,
15664,4.0,HOUSE,HOUSE,Waasmunster,9250,Neerstraat,403,Lot 1,0.0,4.0,525000.0,0.0,1.0,23.0,0.0,0.0,GOOD,0.0,0.0,0.0,790.0,224.0,790.0,,A
15665,3.0,HOUSE,HOUSE,Vilvoorde,1800,Albert I-laan,109,,1.0,4.0,539000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,536.0,130.0,536.0,,B
15666,4.0,HOUSE,VILLA,Wavre,1300,Tienne des Coteaux,5,,0.0,4.0,550000.0,0.0,1.0,30.0,0.0,0.0,AS_NEW,1.0,600.0,0.0,1462.0,185.0,1462.0,UnderOption,D
15667,3.0,HOUSE,VILLA,Lichtervelde,8810,Zwevezelestraat,76,,0.0,,550000.0,0.0,1.0,,0.0,0.0,GOOD,0.0,0.0,0.0,918.0,,918.0,,C
15668,4.0,HOUSE,HOUSE,TENNEVILLE,6970,Beaulieu,22,,0.0,4.0,575000.0,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0,814.0,168.0,814.0,,B
